x,y
1444,387
1447,387
1448,388
1450,388
1451,389
1452,389
1455,392
1456,392
1457,393
1476,393
1477,394
1488,394
1489,395
1492,395
1493,396
1499,396
1500,397
1503,397
1504,398
1506,398
1507,399
1509,399
1510,400
1513,400
1514,401
1517,401
1518,402
1522,402
1523,403
1526,403
1527,404
1528,404
1529,405
1531,405
1532,406
1534,406
1535,407
1536,407
1537,408
1538,408
1539,409
1541,409
1542,410
1544,410
1545,411
1547,411
1548,412
1552,412
1553,413
1554,413
1555,414
1558,414
1559,415
1565,415
1566,416
1574,416
1575,417
1577,417
1578,418
1580,418
1581,419
1584,419
1585,420
1589,420
1590,421
1594,421
1595,422
1598,422
1599,423
1601,423
1602,424
1617,424
1618,425
1632,425
1633,426
1642,426
1643,427
1644,427
1645,428
1646,428
1647,429
1649,429
1650,430
1652,430
1653,431
1655,431
1656,432
1660,432
1661,433
1663,433
1664,434
1668,434
1669,435
1671,435
1672,434
1675,434
1676,435
1678,435
1679,436
1681,436
1682,437
1687,437
1688,436
1692,436
1693,435
1707,435
1708,434
1710,434
1711,433
1713,433
1714,432
1716,432
1717,431
1720,431
1721,430
1724,430
1725,429
1730,429
1731,428
1734,428
1735,427
1737,427
1738,426
1741,426
1742,425
1744,425
1745,424
1747,424
1748,423
1766,423
1767,422
1780,422
1781,423
1782,423
1783,424
1784,423
1787,423
1788,422
1789,422
1790,421
1791,421
1792,420
1793,420
1794,419
1800,419
1801,418
1802,419
1806,419
1807,420
1808,420
1809,421
1810,421
1811,422
1814,422
1815,423
1816,423
1817,424
1818,424
1819,425
1820,425
1821,426
1823,426
1824,427
1826,427
1827,428
1829,428
1830,429
1833,429
1834,430
1837,430
1838,431
1839,431
1840,432
1842,432
1844,434
1845,434
1846,435
1847,435
1848,436
1849,436
1850,437
1851,437
1852,438
1854,438
1855,439
1856,439
1857,440
1858,440
1859,441
1859,442
1864,447
1865,447
1870,452
1871,452
1872,453
1874,453
1876,455
1876,460
1880,460
1881,461
1883,461
1884,462
1885,462
1886,463
1887,463
1889,465
1890,465
1891,466
1892,466
1893,467
